sku,fabric_name,construction,composition,gsm_and_width,finish,price,properties,image_file,px,pdf_page
SU-AL-101,ALOE VERA,Powerloom,100% Aelover (CLOSED LOOP VISCOSE),"105 GSM, Widht- 44"", Plain weave.",RFD,₹685/mtr,"Breathable; Moisture wicking; Soft touch, sensitive on skin; Good fall; Summer, Loungewear, Baby clothing",SU-AL-101.jpg,456x594,1
SU-BF-101,BAMBOO WOVEN 30s,Powerloom,100% Bamboo,"120 GSM, Width-58"", Plain weave",RFD,₹395/mtr,"Breathable; Soft touch; UV Resistant; Anti-Bacterial; Good fall; Summer, Causal wear, Yoga wear",SU-BF-101.jpg,591x770,2
SU-BF-102,BAMBOO COTTON WOVEN,Handloom,50% Bamboo 50% Cotton,"137 GSM, Width-44"", Plain weave",Greige,₹395/mtr,"Breathable; UV Resistant; Anti-Bacterial; Durable; Summer, Causal wear, Occasion wear; Soft touch",SU-BF-102.jpg,591x771,3
SU-BF-103,BAMBOO TWILL,Powerloom,100% Bamboo,"250 GSM, Width- 58""",Greige,₹450/mtr,"Breathable; Moisture absorbency; Durable; Anti-Bacterial; Light Winters, Fluid trousers, Soft; Jackets, Relaxed Tailoring; Soft touch",SU-BF-103.jpg,591x771,4
SU-BF-104,BAMBOO SEERSUCKER,Powerloom,100% Bamboo,"GSM- 140, Width-58""",RFD,₹400/mtr,"Breathable; Anti Bacterial; Moisture absorbency; Soft touch; Summer, Dresses, Relaxed Co-ords",SU-BF-104.jpg,591x771,5
SU-BF-201,BAMBOO KNITTED 30/40s,Knitted,80% Bamboo 20% Cotton,"180 GSM, Width-70""",RFD,₹1300/Kg,"Breathable; UV Resistant; Anti-Bacterial; Durable; Summer, Causal wear, Lounge wear; Soft touch",SU-BF-201.jpg,591x771,6
SU-BF-202,BAMBOO LYCRA,Knitted,97% Bamboo 3% Lycra,"190 GSM, Width-70""",RFD,₹1300/Kg,"Breathable; Good stretch; UV Resistant; Anti-Bacterial; Soft touch; Summer, Active wear; Soft touch",SU-BF-202.jpg,591x770,7
SU-BF-203,BAMBOO PIQUE,Knitted,97% Bamboo 3% Lycra,"262 GSM, Width- 70""",RFD,₹1300/Kg,"Breathable; UV Resistant; Anti-Bacterial; Moisture absorbency; Summer, Active wear; Good stretch; Soft touch",SU-BF-203.jpg,591x771,8
SU-BF-204,BAMBOO FRENCH TERRY,Knitted,97% Bamboo 3% Lycra,"290 GSM, Width- 72""",RFD,₹1300/Kg,"Breathable; UV Resistant; Anti-Bacterial; Durable; Winter, Joggers, Sweatshirts; Good stretch; Soft touch",SU-BF-204.jpg,591x770,9
SU-BF-205,BAMBOO VELOUR,Knitted,80% Bamboo 15% Polyester 5% Lycra,"257 GSM, Width-60""",RFD,₹1300/Kg,"Breathable; UV Resistant; Anti-Bacterial; Good stretch; Winter, Festive wear, Lounge wear; Soft touch",SU-BF-205.jpg,591x771,10
SU-BN-102,BANANA COTTON 2/40,Handloom,50% Banana 50% Cotton,"127 GSM, Width-44"", Plain weave",Greige,₹585/mtr,"Breathable; Moisture Wicking; Durable; Summer, Casual wear, Occasion wear",SU-BN-102.jpg,591x771,11
